Operaciones,Longs,Shorts,Ganadoras,Perdedoras,Saldo Final,Rentabilidad (%),RSI_CORTE,ADX_THRESHOLD,DIFERENCIA_DI
12,5,7,6,6,134.49,-32.76,45,20,1
12,5,7,6,6,134.49,-32.76,45,20,2
12,5,7,6,6,134.49,-32.76,45,20,3
10,4,6,7,3,191.86,-4.07,45,22,1
10,4,6,7,3,191.86,-4.07,45,22,2
10,4,6,7,3,191.86,-4.07,45,22,3
8,3,5,6,2,204.98,2.49,45,25,1
8,3,5,6,2,204.98,2.49,45,25,2
8,3,5,6,2,204.98,2.49,45,25,3
12,5,7,6,6,134.49,-32.76,50,20,1
12,5,7,6,6,134.49,-32.76,50,20,2
12,5,7,6,6,134.49,-32.76,50,20,3
11,4,7,7,4,172.68,-13.66,50,22,1
11,4,7,7,4,172.68,-13.66,50,22,2
11,4,7,7,4,172.68,-13.66,50,22,3
8,3,5,6,2,204.98,2.49,50,25,1
8,3,5,6,2,204.98,2.49,50,25,2
8,3,5,6,2,204.98,2.49,50,25,3
12,5,7,6,6,134.49,-32.76,55,20,1
12,5,7,6,6,134.49,-32.76,55,20,2
12,5,7,6,6,134.49,-32.76,55,20,3
11,4,7,7,4,172.68,-13.66,55,22,1
11,4,7,7,4,172.68,-13.66,55,22,2
11,4,7,7,4,172.68,-13.66,55,22,3
8,3,5,6,2,204.98,2.49,55,25,1
8,3,5,6,2,204.98,2.49,55,25,2
8,3,5,6,2,204.98,2.49,55,25,3
